Time	Current	U_Battery	U_2
33204	0.0791	3.974	0.114
33416	0.07899	3.956	0.113
33629	0.07899	3.937	0.113
33842	0.07915	3.976	0.113
34055	0.07899	3.975	0.114
34267	0.07899	3.975	0.115
34480	0.07899	3.975	0.113
34693	0.07893	3.956	0.114
34905	0.07899	3.936	0.114
35118	0.07899	3.919	0.111
35331	0.07899	3.937	0.113
35544	0.07904	3.955	0.115
35756	0.07888	3.974	0.115
35969	0.07899	3.973	0.114
36182	0.07899	3.954	0.113
36394	0.07888	3.936	0.114
36607	0.07893	3.955	0.116
36820	0.07893	3.954	0.113
37032	0.07893	3.953	0.112
37245	0.07893	3.972	0.114
37458	0.07888	3.973	0.115
37671	0.07893	3.954	0.115
37883	0.07893	3.972	0.116
38096	0.07888	3.917	0.111
38309	0.07899	3.954	0.114
38521	0.07893	3.972	0.114
38734	0.07893	3.973	0.114
38947	0.07893	3.972	0.113
39160	0.07893	3.954	0.115
39372	0.07893	3.954	0.114
39585	0.07888	3.953	0.114
39798	0.07893	3.934	0.113
40010	0.07893	3.953	0.114
40223	0.07888	3.951	0.114
40436	0.07893	3.972	0.114
40648	0.07893	3.952	0.113
40861	0.07893	3.933	0.113
41074	0.07893	3.952	0.114
41287	0.07899	3.97	0.114
41499	0.07882	3.952	0.114
41712	0.07888	3.915	0.112
41925	0.07893	3.969	0.113
42137	0.07888	3.97	0.115
42350	0.07893	3.952	0.113
42563	0.07893	3.97	0.114
42775	0.07882	3.933	0.113
42988	0.07888	3.933	0.112
43201	0.07888	3.932	0.113
43414	0.07888	3.969	0.113
43626	0.07893	3.931	0.112
43839	0.07893	3.95	0.114
44052	0.07893	3.931	0.113
44264	0.07888	3.95	0.115
44477	0.07882	3.912	0.112
44690	0.07882	3.949	0.114
44903	0.07882	3.931	0.115
45115	0.07888	3.914	0.113
45328	0.07888	3.95	0.114
45540	0.07888	3.967	0.115
45752	0.07888	3.949	0.114
45965	0.07888	3.911	0.113
46178	0.07893	3.931	0.114
46390	0.07888	3.929	0.112
46603	0.07888	3.948	0.115
46816	0.07888	3.948	0.112
47029	0.07882	3.93	0.112
47241	0.07888	3.928	0.114
47454	0.07877	3.969	0.116
47667	0.07882	3.93	0.113
47879	0.07882	3.929	0.113
48092	0.07882	3.948	0.112
48305	0.07888	3.946	0.113
48517	0.07893	3.948	0.113
48730	0.07888	3.966	0.112
48943	0.07882	3.964	0.113
49156	0.07882	3.945	0.111
49368	0.07882	3.947	0.113
49581	0.07888	3.945	0.113
49794	0.07882	3.927	0.112
50006	0.07888	3.927	0.112
50219	0.07882	3.944	0.112
50432	0.07882	3.964	0.116
50645	0.07882	3.926	0.114
50857	0.07877	3.91	0.113
51070	0.07872	3.909	0.111
51283	0.07877	3.964	0.114
51495	0.07882	3.965	0.114
51708	0.07882	3.964	0.112
51921	0.07877	3.927	0.112
52133	0.07882	3.965	0.114
52346	0.07882	3.926	0.113
52559	0.07882	3.925	0.113
52772	0.07877	3.945	0.113
52984	0.07882	3.945	0.113
53197	0.07882	3.925	0.113
53410	0.07882	3.944	0.113
53622	0.07882	3.942	0.113
53835	0.07877	3.942	0.113
54048	0.07882	3.944	0.114
54261	0.07882	3.941	0.111
54473	0.07882	3.943	0.113
54686	0.07877	3.925	0.113
54899	0.07882	3.905	0.112
55111	0.07888	3.944	0.114
55324	0.07882	3.961	0.112
