mean;std
1.27244E+03;2.65054E+01
2.52069E+03;3.61511E+01
4.83639E+03;5.01817E+01
7.16131E+03;6.25138E+01
9.49236E+03;7.45925E+01
1.18310E+04;8.55524E+01
1.41850E+04;9.65479E+01
1.77235E+04;1.12068E+02
2.36323E+04;1.37816E+02
3.54576E+04;1.87613E+02
4.25331E+04;2.16421E+02
4.83952E+04;2.37745E+02
5.19419E+04;2.52332E+02
5.43431E+04;2.60507E+02
5.66303E+04;2.65592E+02
5.91144E+04;2.81154E+02
6.16556E+04;2.46757E+02
6.36852E+04;1.94797E+02
6.49251E+04;3.80129E+00
