Time	U_Bat_oszi	U_Fuse_oszi
11.27	3.500	1.545
11.28	3.500	1.579
11.29	3.535	1.574
11.30	3.500	1.584
11.31	3.489	1.574
11.32	3.504	1.588
11.33	3.506	1.625
11.34	3.540	1.641
11.35	3.540	1.664
11.36	3.540	1.700
11.37	3.540	1.664
11.38	3.562	1.687
11.39	3.512	1.625
11.40	3.501	1.704
11.41	3.540	1.705
11.42	3.521	1.705
11.43	3.540	1.746
11.44	3.540	1.705
11.45	3.580	1.816
11.46	3.520	1.706
11.47	3.540	1.808
11.48	3.541	1.786
11.49	3.569	1.814
11.50	3.559	1.804
11.51	3.540	1.818
11.52	3.540	1.824
11.53	3.540	1.826
11.54	3.580	1.906
11.55	3.540	1.899
11.56	3.580	1.869
11.57	3.554	1.893
11.58	3.580	1.945
11.59	3.580	1.981
11.60	3.575	2.012
11.61	3.580	1.986
11.62	3.606	2.013
11.63	3.576	2.023
11.64	3.580	2.054
11.65	3.580	2.066
11.66	3.621	2.134
11.67	3.621	2.113
11.68	3.613	2.146
11.69	3.580	2.125
11.70	3.604	2.171
11.71	3.659	2.265
11.72	3.621	2.229
11.73	3.642	2.249
11.74	3.621	2.298
11.75	3.621	2.308
11.76	3.651	2.348
11.77	3.621	2.348
11.78	3.661	2.357
11.79	3.661	2.428
11.80	3.661	2.428
11.81	3.639	2.447
11.82	3.661	2.477
11.83	3.623	2.512
11.84	3.661	2.536
11.85	3.661	2.526
11.86	3.701	2.622
11.87	3.664	2.593
11.88	3.687	2.682
11.89	3.701	2.670
11.90	3.701	2.670
11.91	3.661	2.670
11.92	3.726	2.735
11.93	3.701	2.776
11.94	3.661	2.750
11.95	3.735	2.818
11.96	3.741	2.830
11.97	3.714	2.844
11.98	3.741	2.874
11.99	3.741	2.910
12.00	3.741	2.888
12.01	3.741	2.910
12.02	3.703	2.912
12.03	3.732	2.942
12.04	3.720	2.930
12.05	3.741	3.021
12.06	3.741	2.951
12.07	3.741	3.002
12.08	3.781	3.052
12.09	3.710	3.001
12.10	3.741	3.031
12.11	3.781	3.089
12.12	3.741	3.029
12.13	3.741	3.039
12.14	3.779	3.072
12.15	3.741	3.072
12.16	3.764	3.095
12.17	3.781	3.079
12.18	3.745	3.079
12.19	3.741	3.072
12.20	3.757	3.088
12.21	3.816	3.180
12.22	3.746	3.152
12.23	3.772	3.157
12.24	3.781	3.152
12.25	3.781	3.152
12.26	3.753	3.130
12.27	3.805	3.191
12.28	3.822	3.246
12.29	3.819	3.265
12.30	3.781	3.184
12.31	3.764	3.174
12.32	3.781	3.180
12.33	3.783	3.193
12.34	3.781	3.191
12.35	3.802	3.173
12.36	3.781	3.202
12.37	3.782	3.192
12.38	3.811	3.243
12.39	3.802	3.253
12.40	3.791	3.201
12.41	3.782	3.233
12.42	3.793	3.232
12.43	3.803	3.218
12.44	3.781	3.257
12.45	3.784	3.196
12.46	3.822	3.287
12.47	3.799	3.232
12.48	3.815	3.306
12.49	3.785	3.232
12.50	3.781	3.232
12.51	3.806	3.257
12.52	3.856	3.268
12.53	3.822	3.237
12.54	3.781	3.258
12.55	3.796	3.247
12.56	3.781	3.196
12.57	3.787	3.239
12.58	3.822	3.257
12.59	3.795	3.219
12.60	3.822	3.313
12.61	3.781	3.232
12.62	3.822	3.295
12.63	3.793	3.256
12.64	3.822	3.275
12.65	3.781	3.241
12.66	3.800	3.270
12.67	3.822	3.284
12.68	3.822	3.274
12.69	3.822	3.273
12.70	3.822	3.293
12.71	3.791	3.242
12.72	3.861	3.353
12.73	3.781	3.262
12.74	3.822	3.273
12.75	3.813	3.296
12.76	3.860	3.351
12.77	3.862	3.325
12.78	3.822	3.296
12.79	3.795	3.280
12.80	3.858	3.350
12.81	3.822	3.287
12.82	3.806	3.257
12.83	3.827	3.318
12.84	3.791	3.322
12.85	3.822	3.313
12.86	3.807	3.313
12.87	3.853	3.304
12.88	3.822	3.313
12.89	3.838	3.337
12.90	3.862	3.354
12.91	3.825	3.350
12.92	3.814	3.298
12.93	3.862	3.331
12.94	3.822	3.341
12.95	3.822	3.313
12.96	3.822	3.304
12.97	3.822	3.311
12.98	3.822	3.343
12.99	3.861	3.353
13.00	3.822	3.313
13.01	3.822	3.333
13.02	3.862	3.354
13.03	3.861	3.391
13.04	3.804	3.313
13.05	3.840	3.349
13.06	3.854	3.337
13.07	3.860	3.351
13.08	3.822	3.273
13.09	3.827	3.319
13.10	3.855	3.340
13.11	3.858	3.350
13.12	3.822	3.299
13.13	3.838	3.344
13.14	3.856	3.354
13.15	3.822	3.278
13.16	3.822	3.323
13.17	3.862	3.342
13.18	3.826	3.321
13.19	3.828	3.347
13.20	3.845	3.313
13.21	3.835	3.326
13.22	3.859	3.390
13.23	3.829	3.327
13.24	3.862	3.354
13.25	3.809	3.301
13.26	3.823	3.316
13.27	3.853	3.336
13.28	3.822	3.334
13.29	3.811	3.262
13.30	3.862	3.354
13.31	3.852	3.343
13.32	3.822	3.333
13.33	3.831	3.363
13.34	3.861	3.392
13.35	3.851	3.342
13.36	3.843	3.374
13.37	3.854	3.354
13.38	3.822	3.354
13.39	3.862	3.380
13.40	3.816	3.308
13.41	3.828	3.354
13.42	3.825	3.319
13.43	3.862	3.354
13.44	3.822	3.354
13.45	3.862	3.365
13.46	3.862	3.354
13.47	3.862	3.368
13.48	3.822	3.313
13.49	3.862	3.354
13.50	3.856	3.347
13.51	3.822	3.329
13.52	3.862	3.393
13.53	3.859	3.390
13.54	3.862	3.393
13.55	3.862	3.398
13.56	3.834	3.337
13.57	3.822	3.313
13.58	3.830	3.362
13.59	3.841	3.393
13.60	3.851	3.382
13.61	3.822	3.313
13.62	3.872	3.403
13.63	3.862	3.373
13.64	3.862	3.363
13.65	3.861	3.353
13.66	3.862	3.382
13.67	3.822	3.332
13.68	3.830	3.321
13.69	3.862	3.393
13.70	3.822	3.354
13.71	3.839	3.370
13.72	3.822	3.320
13.73	3.862	3.389
13.74	3.848	3.379
13.75	3.862	3.369
13.76	3.856	3.354
13.77	3.857	3.383
13.78	3.862	3.368
13.79	3.836	3.368
13.80	3.898	3.393
13.81	3.856	3.347
13.82	3.845	3.377
13.83	3.835	3.339
13.84	3.862	3.354
13.85	3.829	3.361
13.86	3.844	3.336
13.87	3.850	3.393
13.88	3.862	3.355
13.89	3.822	3.354
13.90	3.883	3.414
13.91	3.862	3.354
13.92	3.862	3.433
13.93	3.862	3.383
13.94	3.842	3.393
13.95	3.831	3.363
13.96	3.863	3.393
13.97	3.862	3.364
13.98	3.862	3.393
13.99	3.862	3.393
14.00	3.900	3.431
14.01	3.862	3.366
14.02	3.862	3.376
14.03	3.836	3.360
14.04	3.862	3.393
14.05	3.848	3.379
14.06	3.862	3.393
14.07	3.896	3.387
14.08	3.862	3.393
14.09	3.862	3.404
14.10	3.862	3.368
14.11	3.862	3.393
14.12	3.862	3.393
14.13	3.862	3.386
14.14	3.862	3.393
14.15	3.862	3.393
14.16	3.902	3.426
14.17	3.862	3.393
14.18	3.890	3.421
14.19	3.862	3.393
14.20	3.862	3.384
14.21	3.862	3.414
14.22	3.880	3.412
14.23	3.862	3.393
14.24	3.862	3.373
14.25	3.862	3.413
14.26	3.862	3.363
14.27	3.862	3.393
14.28	3.833	3.364
14.29	3.862	3.372
14.30	3.862	3.425
14.31	3.824	3.391
14.32	3.862	3.405
14.33	3.862	3.393
14.34	3.836	3.368
14.35	3.862	3.393
14.36	3.862	3.367
14.37	3.862	3.393
14.38	3.862	3.387
14.39	3.826	3.397
14.40	3.822	3.368
14.41	3.862	3.393
14.42	3.826	3.358
14.43	3.862	3.428
14.44	3.878	3.409
14.45	3.862	3.420
14.46	3.862	3.393
14.47	3.862	3.419
14.48	3.839	3.330
14.49	3.890	3.421
14.50	3.823	3.391
14.51	3.870	3.393
14.52	3.862	3.354
14.53	3.862	3.393
14.54	3.862	3.393
14.55	3.902	3.403
14.56	3.862	3.413
14.57	3.871	3.412
14.58	3.901	3.433
14.59	3.891	3.422
14.60	3.862	3.434
14.61	3.862	3.401
14.62	3.862	3.393
14.63	3.862	3.405
14.64	3.844	3.399
14.65	3.836	3.368
14.66	3.862	3.430
14.67	3.849	3.381
14.68	3.878	3.409
14.69	3.862	3.393
14.70	3.862	3.358
14.71	3.862	3.418
14.72	3.862	3.434
14.73	3.862	3.393
14.74	3.896	3.434
14.75	3.878	3.426
14.76	3.848	3.379
14.77	3.825	3.354
14.78	3.895	3.400
14.79	3.879	3.451
14.80	3.862	3.405
14.81	3.864	3.434
14.82	3.862	3.410
14.83	3.862	3.393
14.84	3.891	3.422
14.85	3.862	3.393
14.86	3.862	3.402
14.87	3.902	3.453
14.88	3.871	3.434
14.89	3.862	3.433
14.90	3.891	3.434
14.91	3.843	3.393
14.92	3.870	3.401
14.93	3.825	3.357
14.94	3.874	3.405
14.95	3.879	3.428
14.96	3.895	3.460
14.97	3.862	3.434
14.98	3.888	3.420
14.99	3.838	3.369
15.00	3.868	3.434
15.01	3.897	3.465
15.02	3.887	3.434
15.03	3.847	3.378
15.04	3.902	3.397
15.05	3.862	3.393
15.06	3.862	3.409
15.07	3.902	3.461
15.08	3.865	3.399
15.09	3.869	3.441
15.10	3.856	3.406
15.11	3.874	3.405
15.12	3.862	3.393
15.13	3.862	3.425
15.14	3.862	3.393
15.15	3.862	3.404
15.16	3.862	3.355
15.17	3.902	3.402
15.18	3.882	3.434
15.19	3.862	3.373
15.20	3.901	3.473
15.21	3.891	3.452
15.22	3.902	3.476
15.23	3.862	3.434
15.24	3.864	3.436
15.25	3.862	3.446
15.26	3.884	3.475
15.27	3.895	3.467
15.28	3.865	3.396
15.29	3.862	3.434
15.30	3.878	3.386
15.31	3.868	3.377
15.32	3.897	3.470
15.33	3.887	3.434
15.34	3.887	3.444
15.35	3.866	3.402
15.36	3.890	3.422
15.37	3.886	3.465
15.38	3.862	3.420
15.39	3.902	3.471
15.40	3.895	3.441
15.41	3.862	3.410
15.42	3.874	3.418
15.43	3.900	3.432
15.44	3.894	3.417
15.45	3.862	3.414
15.46	3.862	3.422
15.47	3.862	3.356
15.48	3.871	3.443
15.49	3.902	3.454
15.50	3.881	3.413
15.51	3.862	3.433
15.52	3.902	3.445
15.53	3.862	3.455
15.54	3.862	3.434
15.55	3.902	3.435
15.56	3.890	3.477
15.57	3.879	3.428
15.58	3.902	3.434
15.59	3.862	3.434
15.60	3.862	3.434
15.61	3.886	3.458
15.62	3.862	3.428
15.63	3.898	3.470
15.64	3.862	3.418
15.65	3.887	3.459
15.66	3.902	3.470
15.67	3.902	3.475
15.68	3.886	3.434
15.69	3.888	3.447
15.70	3.865	3.434
15.71	3.862	3.393
15.72	3.879	3.445
15.73	3.849	3.421
15.74	3.864	3.434
15.75	3.902	3.475
15.76	3.843	3.374
15.77	3.902	3.475
15.78	3.862	3.434
15.79	3.892	3.455
15.80	3.882	3.454
15.81	3.892	3.455
15.82	3.901	3.474
15.83	3.891	3.463
15.84	3.881	3.412
15.85	3.893	3.434
15.86	3.902	3.435
15.87	3.890	3.421
15.88	3.879	3.452
15.89	3.902	3.467
15.90	3.905	3.440
15.91	3.889	3.447
15.92	3.886	3.401
15.93	3.868	3.440
15.94	3.902	3.475
15.95	3.902	3.475
15.96	3.902	3.459
15.97	3.866	3.402
15.98	3.896	3.422
15.99	3.902	3.450
16.00	3.902	3.475
16.01	3.899	3.471
16.02	3.902	3.434
16.03	3.902	3.475
16.04	3.902	3.446
16.05	3.864	3.436
16.06	3.885	3.489
16.07	3.862	3.434
16.08	3.891	3.434
16.09	3.862	3.393
16.10	3.871	3.434
16.11	3.882	3.434
16.12	3.872	3.475
16.13	3.901	3.475
16.14	3.862	3.434
16.15	3.881	3.412
16.16	3.862	3.425
16.17	3.900	3.473
16.18	3.902	3.486
16.19	3.884	3.452
16.20	3.895	3.467
16.21	3.899	3.468
16.22	3.889	3.461
16.23	3.902	3.475
16.24	3.896	3.468
16.25	3.902	3.475
16.26	3.902	3.525
16.27	3.872	3.404
16.28	3.902	3.470
16.29	3.896	3.469
16.30	3.886	3.442
16.31	3.888	3.461
16.32	3.862	3.396
16.33	3.869	3.441
16.34	3.902	3.475
16.35	3.902	3.489
16.36	3.902	3.475
16.37	3.894	3.458
16.38	3.880	3.475
16.39	3.862	3.434
16.40	3.862	3.393
16.41	3.902	3.514
16.42	3.882	3.474
16.43	3.892	3.454
16.44	3.942	3.554
16.45	3.902	3.434
16.46	3.881	3.475
16.47	3.902	3.483
16.48	3.900	3.473
16.49	3.874	3.405
16.50	3.879	3.452
16.51	3.869	3.467
16.52	3.899	3.472
16.53	3.862	3.420
16.54	3.902	3.491
16.55	3.896	3.434
16.56	3.902	3.475
16.57	3.887	3.460
16.58	3.887	3.484
16.59	3.867	3.434
16.60	3.896	3.475
16.61	3.886	3.442
16.62	3.862	3.419
16.63	3.902	3.475
16.64	3.869	3.413
16.65	3.885	3.479
16.66	3.862	3.405
16.67	3.904	3.477
16.68	3.870	3.442
16.69	3.902	3.496
16.70	3.873	3.416
16.71	3.902	3.435
16.72	3.892	3.475
16.73	3.902	3.494
16.74	3.872	3.444
16.75	3.902	3.514
16.76	3.891	3.464
16.77	3.862	3.396
16.78	3.879	3.451
16.79	3.900	3.509
16.80	3.862	3.462
16.81	3.884	3.434
16.82	3.895	3.467
16.83	3.902	3.472
16.84	3.902	3.475
16.85	3.885	3.458
16.86	3.902	3.475
16.87	3.866	3.434
16.88	3.902	3.475
16.89	3.887	3.459
16.90	3.897	3.479
16.91	3.896	3.434
16.92	3.862	3.458
16.93	3.876	3.461
16.94	3.898	3.507
16.95	3.895	3.475
16.96	3.902	3.457
16.97	3.902	3.501
16.98	3.900	3.475
16.99	3.894	3.506
17.00	3.902	3.475
17.01	3.862	3.445
17.02	3.901	3.474
17.03	3.893	3.434
17.04	3.922	3.534
17.05	3.912	3.495
17.06	3.862	3.474
17.07	3.862	3.445
17.08	3.902	3.475
17.09	3.902	3.442
17.10	3.863	3.475
17.11	3.886	3.458
17.12	3.902	3.496
17.13	3.895	3.459
17.14	3.899	3.511
17.15	3.902	3.501
17.16	3.885	3.498
17.17	3.902	3.440
17.18	3.934	3.501
17.19	3.902	3.499
17.20	3.887	3.444
17.21	3.867	3.475
17.22	3.902	3.475
17.23	3.902	3.475
17.24	3.888	3.446
17.25	3.902	3.514
17.26	3.902	3.475
17.27	3.885	3.497
17.28	3.874	3.446
17.29	3.864	3.436
17.30	3.894	3.498
17.31	3.902	3.496
17.32	3.902	3.475
17.33	3.902	3.475
17.34	3.902	3.475
17.35	3.902	3.473
17.36	3.902	3.484
17.37	3.902	3.434
17.38	3.862	3.475
17.39	3.902	3.475
17.40	3.902	3.514
17.41	3.900	3.510
17.42	3.874	3.446
17.43	3.902	3.475
17.44	3.854	3.452
17.45	3.902	3.472
17.46	3.902	3.501
17.47	3.878	3.450
17.48	3.902	3.514
17.49	3.866	3.442
17.50	3.876	3.460
17.51	3.862	3.449
17.52	3.902	3.475
17.53	3.902	3.480
17.54	3.886	3.458
17.55	3.902	3.475
17.56	3.902	3.478
17.57	3.862	3.475
17.58	3.902	3.480
17.59	3.929	3.501
17.60	3.902	3.514
17.61	3.894	3.466
17.62	3.920	3.493
17.63	3.902	3.514
17.64	3.902	3.475
17.65	3.902	3.475
17.66	3.902	3.494
17.67	3.902	3.475
17.68	3.902	3.475
17.69	3.883	3.496
17.70   3.881	3.493
17.71	3.933	3.546
17.72	3.904	3.476
17.73	3.902	3.502
17.74	3.902	3.492
17.75	3.902	3.521
17.76	3.902	3.475
17.77	3.902	3.487
17.78	3.902	3.514
17.79	3.902	3.475
17.80	3.906	3.483
17.81	3.876	3.448
17.82	3.902	3.499
17.83	3.902	3.479
17.84	3.867	3.439
17.85	3.902	3.475
17.86	3.876	3.435
17.87	3.906	3.478
17.88	3.862	3.468
17.89	3.925	3.514
17.90	3.902	3.475
17.91	3.900	3.511
17.92	3.902	3.450
17.93	3.902	3.475
17.94	3.942	3.555
17.95	3.903	3.437
17.96	3.911	3.523
17.97	3.922	3.494
17.98	3.932	3.534
17.99	3.902	3.474
18.00	3.902	3.485
18.01	3.902	3.493
18.02	3.902	3.475
