Time	U_Bat_oszi	U_Fuse_oszi
2.54	3.514	0.809
2.55	3.516	0.852
2.56	3.540	0.930
2.57	3.540	0.866
2.58	3.500	0.861
2.59	3.515	0.876
2.60	3.500	0.825
2.61	3.500	0.894
2.62	3.500	0.861
2.63	3.527	0.887
2.64	3.463	0.826
2.65	3.500	0.854
2.66	3.500	0.861
2.67	3.512	0.844
2.68	3.500	0.861
2.69	3.491	0.861
2.70	3.500	0.840
2.71	3.500	0.861
2.72	3.460	0.821
2.73	3.500	0.880
2.74	3.500	0.881
2.75	3.531	0.913
2.76	3.500	0.861
2.77	3.489	0.878
2.78	3.522	0.882
2.79	3.508	0.909
2.80	3.500	0.820
2.81	3.472	0.833
2.82	3.500	0.844
2.83	3.533	0.928
2.84	3.496	0.854
2.85	3.486	0.873
2.86	3.524	0.877
2.87	3.465	0.856
2.88	3.500	0.825
2.89	3.500	0.876
2.90	3.500	0.861
2.91	3.464	0.794
2.92	3.466	0.894
2.93	3.476	0.853
2.94	3.500	0.874
2.95	3.463	0.858
2.96	3.500	0.869
2.97	3.460	0.803
2.98	3.460	0.820
2.99	3.537	0.899
3.00	3.468	0.870
3.01	3.481	0.882
3.02	3.500	0.861
3.03	3.500	0.900
3.04	3.490	0.861
3.05	3.460	0.841
3.06	3.500	0.900
3.07	3.460	0.860
3.08	3.489	0.889
3.09	3.500	0.839
3.10	3.460	0.853
3.11	3.500	0.863
3.12	3.472	0.900
3.13	3.460	0.820
3.14	3.467	0.861
3.15	3.496	0.890
3.16	3.487	0.875
3.17	3.460	0.845
3.18	3.494	0.889
3.19	3.495	0.856
3.20	3.500	0.861
3.21	3.474	0.846
3.22	3.500	0.866
3.23	3.466	0.826
3.24	3.484	0.861
3.25	3.473	0.834
3.26	3.463	0.864
3.27	3.460	0.861
3.28	3.477	0.879
3.29	3.472	0.861
3.30	3.460	0.822
3.31	3.491	0.861
3.32	3.460	0.820
3.33	3.489	0.890
3.34	3.460	0.821
3.35	3.480	0.881
3.36	3.480	0.861
3.37	3.490	0.881
3.38	3.460	0.861
3.39	3.460	0.832
3.40	3.500	0.900
3.41	3.428	0.798
3.42	3.460	0.820
3.43	3.460	0.833
3.44	3.477	0.855
3.45	3.460	0.861
3.46	3.463	0.865
3.47	3.460	0.861
3.48	3.460	0.868
3.49	3.460	0.861
3.50	3.460	0.857
3.51	3.460	0.886
3.52	3.485	0.912
3.53	3.496	0.896
3.54	3.460	0.826
3.55	3.460	0.861
3.56	3.460	0.861
3.57	3.497	0.897
3.58	3.460	0.828
3.59	3.442	0.843
3.60	3.476	0.864
3.61	3.460	0.861
3.62	3.460	0.861
3.63	3.500	0.900
3.64	3.430	0.831
3.65	3.460	0.821
3.66	3.470	0.871
3.67	3.460	0.861
3.68	3.460	0.891
3.69	3.459	0.861
3.70	3.460	0.850
3.71	3.460	0.861
3.72	3.460	0.892
3.73	3.422	0.822
3.74	3.460	0.861
3.75	3.483	0.884
3.76	3.493	0.894
3.77	3.497	0.897
3.78	3.460	0.887
3.79	3.484	0.885
3.80	3.460	0.895
3.81	3.455	0.857
3.82	3.475	0.876
3.83	3.445	0.846
3.84	3.500	0.900
3.85	3.426	0.793
3.86	3.436	0.853
3.87	3.420	0.820
3.88	3.460	0.897
3.89	3.467	0.908
3.90	3.460	0.861
3.91	3.460	0.900
3.92	3.421	0.824
3.93	3.460	0.861
3.94	3.438	0.858
3.95	3.430	0.872
3.96	3.460	0.861
3.97	3.460	0.861
3.98	3.440	0.860
3.99	3.429	0.861
4.00	3.461	0.863
4.01	3.460	0.872
4.02	3.441	0.842
4.03	3.460	0.861
4.04	3.422	0.863
4.05	3.460	0.900
4.06	3.465	0.866
4.07	3.493	0.894
4.08	3.456	0.890
4.09	3.433	0.834
4.10	3.460	0.885
4.11	3.454	0.855
4.12	3.460	0.866
4.13	3.460	0.861
4.14	3.460	0.861
4.15	3.424	0.829
4.16	3.466	0.906
4.17	3.436	0.853
4.18	3.460	0.861
4.19	3.460	0.900
4.20	3.427	0.835
4.21	3.460	0.906
4.22	3.460	0.873
4.23	3.420	0.861
4.24	3.460	0.900
4.25	3.438	0.880
4.26	3.460	0.861
4.27	3.420	0.821
4.28	3.420	0.820
4.29	3.440	0.881
4.30	3.460	0.900
4.31	3.460	0.900
4.32	3.420	0.832
4.33	3.438	0.877
4.34	3.451	0.884
4.35	3.422	0.861
4.36	3.460	0.873
4.37	3.483	0.883
4.38	3.427	0.861
4.39	3.456	0.858
4.40	3.433	0.861
4.41	3.460	0.909
4.42	3.425	0.861
4.43	3.460	0.861
4.44	3.445	0.861
4.45	3.445	0.871
4.46	3.460	0.900
4.47	3.420	0.826
4.48	3.420	0.837
4.49	3.460	0.887
4.50	3.494	0.929
4.51	3.460	0.900
4.52	3.442	0.865
4.53	3.432	0.849
4.54	3.458	0.900
4.55	3.460	0.861
4.56	3.441	0.861
4.57	3.449	0.890
4.58	3.459	0.900
4.59	3.460	0.842
4.60	3.460	0.941
4.61	3.460	0.900
4.62	3.420	0.862
4.63	3.449	0.850
4.64	3.460	0.882
4.65	3.396	0.869
4.66	3.422	0.861
4.67	3.420	0.876
4.68	3.437	0.878
4.69	3.453	0.861
4.70	3.460	0.861
4.71	3.420	0.900
4.72	3.444	0.885
4.73	3.420	0.826
4.74	3.455	0.896
4.75	3.420	0.876
4.76	3.430	0.897
4.77	3.451	0.928
4.78	3.460	0.900
4.79	3.436	0.853
4.80	3.420	0.834
4.81	3.460	0.864
4.82	3.445	0.854
4.83	3.437	0.896
4.84	3.447	0.888
4.85	3.460	0.900
4.86	3.491	0.925
4.87	3.441	0.861
4.88	3.449	0.919
4.89	3.420	0.862
4.90	3.460	0.871
4.91	3.460	0.900
4.92	3.460	0.900
4.93	3.460	0.900
4.94	3.449	0.890
4.95	3.438	0.882
4.96	3.420	0.861
4.97	3.421	0.863
4.98	3.420	0.873
4.99	3.437	0.878
5.00	3.427	0.868
5.01	3.460	0.938
5.02	3.420	0.875
5.03	3.476	0.900
5.04	3.460	0.906
5.05	3.460	0.900
5.06	3.460	0.900
5.07	3.420	0.861
5.08	3.424	0.861
5.09	3.425	0.906
5.10	3.420	0.861
5.11	3.446	0.887
5.12	3.456	0.897
5.13	3.420	0.868
5.14	3.437	0.878
5.15	3.432	0.873
5.16	3.460	0.900
5.17	3.460	0.950
5.18	3.460	0.920
5.19	3.460	0.900
5.20	3.420	0.861
5.21	3.429	0.891
5.22	3.420	0.881
5.23	3.420	0.891
5.24	3.459	0.900
5.25	3.449	0.879
5.26	3.441	0.922
5.27	3.460	0.933
5.28	3.421	0.863
5.29	3.447	0.917
5.30	3.420	0.838
5.31	3.420	0.854
5.32	3.420	0.861
5.33	3.460	0.900
5.34	3.436	0.861
5.35	3.385	0.820
5.36	3.424	0.866
5.37	3.460	0.900
5.38	3.445	0.912
5.39	3.420	0.861
5.40	3.425	0.906
5.41	3.420	0.861
5.42	3.460	0.927
5.43	3.460	0.941
5.44	3.453	0.886
5.45	3.460	0.924
5.46	3.432	0.900
5.47	3.460	0.900
5.48	3.420	0.892
5.49	3.438	0.899
5.50	3.460	0.958
5.51	3.420	0.862
5.52	3.420	0.922
5.53	3.460	0.900
5.54	3.429	0.910
5.55	3.460	0.941
5.56	3.420	0.872
5.57	3.438	0.922
5.58	3.451	0.924
5.59	3.420	0.861
5.60	3.420	0.861
5.61	3.437	0.918
5.62	3.427	0.908
5.63	3.460	0.938
5.64	3.460	0.914
5.65	3.436	0.877
5.66	3.454	0.930
5.67	3.424	0.905
